,url,stars,material
23,https://shop.lululemon.com/p/tops-short-sleeve/Swiftly-Tech-SS-2/_/prod9750519,"['311', '71', '37', '51', '47']","['54% Nylon', '40% Recycled polyester', '3% Elastane', '3% X-static® nylon']"
24,https://shop.lululemon.com/p/women-tanks/Love-Tank-Pleated/_/prod8980076,"['595', '128', '89', '96', '86']","['92% Pima cotton', '8% Lycra® elastane']"
25,https://shop.lululemon.com/p/women-tanks/Ebb-To-Street-Tank/_/prod2380186,"['446', '86', '65', '46', '33']","['85% Nylon', '15% Elastane', '95% Nylon', '5% Elastane', '100% Nylon']"
26,https://shop.lululemon.com/p/women-tanks/All-Yours-Tank/_/prod9600540,"['125', '29', '20', '16', '16']","['69% Pima cotton', '23% Lyocell', '8% Lycra® elastane']"
27,https://shop.lululemon.com/p/women-tanks/Cool-Racerback-II-Nulu/_/prod8780623,"['416', '83', '47', '52', '31']","['81% Nylon', '19% Lycra® elastane']"
28,https://shop.lululemon.com/p/tops-short-sleeve/Love-Tee-V/_/prod8690610,"['205', '69', '51', '71', '76']","['92% Pima cotton', '8% Lycra® elastane']"
29,https://shop.lululemon.com/p/women-tanks/All-Tied-Up-Tank/_/prod6020285,"['461', '95', '34', '41', '25']","['92% Pima cotton', '8% Lycra® elastane']"
30,https://shop.lululemon.com/p/tops-long-sleeve/Run-Briskly-12-Zip/_/prod9750534,"['52', '17', '13', '4', '3']","['56% Polyester', '33% Coolmax® polyester', '11% Lycra® elastane', '83% Nylon', '17% Lycra® elastane']"
31,https://shop.lululemon.com/p/tops-long-sleeve/Swiftly-Breathe-LS/_/prod10210121,"['41', '9', '2', '2', '1']","['54% Nylon', '40% Recycled polyester', '3% Elastane', '3% X-static® nylon']"
32,https://shop.lululemon.com/p/women-tanks/Sculpt-Tank/_/prod5020018,"['479', '114', '61', '48', '55']","['73% Nylon', '27% Xtra life lycra® elastane', '89% Nylon', '11% Elastane']"
33,https://shop.lululemon.com/p/tops-long-sleeve/Swiftly-Breathe-LS-Squad/_/prod10210120,"['10', '2', '0', '0', '0']","['66% Nylon', '31% Polyester', '3% X-static® nylon']"
34,https://shop.lululemon.com/p/women-tanks/Cool-Racerback-II/_/prod8260230,"['367', '113', '81', '76', '84']",['None listed']
35,https://shop.lululemon.com/p/womens-t-shirts/Swiftly-Tech-SS-Breeze/_/prod9030598,"['181', '32', '32', '27', '15']","['51% Nylon', '44% Polyester', '3% Elastane', '2% X-static® nylon']"
36,https://shop.lululemon.com/p/womens-t-shirts/Cates-Tee/_/prod9271065,"['227', '35', '17', '17', '7']","['92% Pima cotton', '8% Lycra® elastane']"
37,https://shop.lululemon.com/p/tops-short-sleeve/Swiftly-Breathe-SS/_/prod10120025,"['21', '1', '1', '0', '0']","['54% Nylon', '40% Recycled polyester', '3% Elastane', '3% X-static® nylon']"
38,https://shop.lululemon.com/p/tops-short-sleeve/Love-Crew-III-Waffle/_/prod10400457,"['3', '3', '3', '1', '1']",['100% Cotton']
39,https://shop.lululemon.com/p/women-tanks/All-Yours-Tank-Tie-Dye/_/prod10390093,"['0', '1', '1', '0', '0']","['100% Pima cotton', '98% Pima cotton', '2% Lycra® elastane']"
40,https://shop.lululemon.com/p/tops-short-sleeve/All-Yours-Tee-Graphic/_/prod9960626,"['8', '1', '0', '0', '0']","['69% Pima cotton', '23% Lyocell', '8% Lycra® elastane']"
41,https://shop.lululemon.com/p/tops-short-sleeve/Swiftly-Tech-Short-Sleeve-2-Race/_/prod9820343,"['75', '18', '16', '4', '14']","['54% Nylon', '40% Recycled polyester', '3% Elastane', '3% X-static® nylon']"
42,https://shop.lululemon.com/p/tops-short-sleeve/All-Yours-Crop-Tee/_/prod9960620,"['4', '2', '2', '0', '0']","['69% Pima cotton', '23% Lyocell', '8% Lycra® elastane']"
43,https://shop.lululemon.com/p/women-tanks/Swiftly-Tech-RB-2-Race/_/prod9750460,"['240', '33', '7', '8', '6']","['52% Nylon', '41% Polyester', '4% Elastane', '3% X-static® nylon']"
44,https://shop.lululemon.com/p/women-tanks/Muscle-Love-Crop-Tank-Tough/_/prod9820380,"['23', '3', '1', '4', '2']","['88% Nylon', '12% Elastane']"
45,https://shop.lululemon.com/p/tops-long-sleeve/Rest-Less-Pullover-BD/_/prod10280037,"['21', '8', '5', '5', '6']","['65% Nylon', '30% Polyester', '5% Elastane']"
46,https://shop.lululemon.com/p/women-tanks/Swiftly-Relaxed-Tank/_/prod9820391,"['39', '10', '7', '10', '18']","['51% Nylon', '44% Polyester', '3% Elastane', '2% X-static® nylon']"
47,https://shop.lululemon.com/p/tops-long-sleeve/Rise-and-Run-Long-Sleeve/_/prod9960797,"['26', '6', '8', '3', '2']","['73% Nylon', '27% Xtra life lycra® elastane']"
48,https://shop.lululemon.com/p/women-tanks/All-Yours-Crop-Tank/_/prod9960619,"['3', '1', '0', '0', '1']","['69% Pima cotton', '23% Lyocell', '8% Lycra® elastane']"
49,https://shop.lululemon.com/p/women-tanks/Power-Y-Tank-Everlux/_/prod9750456,"['23', '13', '2', '10', '8']","['89% Nylon', '11% Elastane', '56% Polyester', '33% Coolmax® polyester', '11% Lycra® elastane', '77% Nylon', '23% Lycra® elastane']"
50,https://shop.lululemon.com/p/tops-short-sleeve/Swiftly-Tech-Short-Sleeve-2-City/_/prod10080064,"['7', '0', '0', '0', '1']","['50% Nylon', '44% Recycled polyester', '3% Elastane', '3% X-static® nylon']"
51,https://shop.lululemon.com/p/women-tanks/Swiftly-Breeze-Tank/_/prod9270989,"['70', '21', '13', '18', '11']","['51% Nylon', '43% Polyester', '3% Elastane', '3% X-static® nylon']"
52,https://shop.lululemon.com/p/women-tanks/Airy-Breakaway-Tank/_/prod9960609,"['1', '0', '0', '0', '0']","['73% Nylon', '27% Xtra life lycra® elastane', '80% Nylon', '20% Elastane']"
53,https://shop.lululemon.com/p/women-tanks/Power-Pivot-Tank/_/prod9750454,"['30', '15', '4', '6', '14']","['72% Nylon', '28% Xtra life lycra® elastane']"
54,https://shop.lululemon.com/p/tops-long-sleeve/Swiftly-Tech-LS-Breeze/_/prod8510157,"['310', '53', '30', '38', '25']","['53% Nylon', '41% Polyester', '3% Elastane', '3% X-static® nylon']"
55,https://shop.lululemon.com/p/women-tanks/Cool-RB-II-Nulu-Diamond-Dye-Race/_/prod10390025,"['416', '83', '47', '52', '31']","['81% Nylon', '19% Lycra® elastane']"
56,https://shop.lululemon.com/p/tops-short-sleeve/Swiftly-Breathe-SS-Squad/_/prod10270106,"['0', '0', '0', '0', '0']","['66% Nylon', '31% Polyester', '3% X-static® nylon']"
57,https://shop.lululemon.com/p/womens-t-shirts/Train-to-Be-SS/_/prod9600524,"['58', '11', '6', '5', '11']","['70% Nylon', '30% Polyester']"
58,https://shop.lululemon.com/p/tops-long-sleeve/All-Aligned-Mock-Neck-Long-Sleeve/_/prod9960613,"['51', '10', '7', '2', '6']","['80% Nylon', '20% Lycra® elastane']"
59,https://shop.lululemon.com/p/tops-long-sleeve/Breeze-By-Long-Sleeve-Squad/_/prod8900601,"['115', '27', '19', '15', '13']","['66% Nylon', '31% Polyester', '3% X-static® nylon']"
60,https://shop.lululemon.com/p/women-tanks/Power-Pivot-Tank-Everlux/_/prod9820381,"['9', '2', '3', '0', '2']","['77% Nylon', '23% Lycra® elastane']"
61,https://shop.lululemon.com/p/women-tanks/All-Yours-Tank-Graphic/_/prod10400394,"['1', '0', '0', '0', '0']","['69% Pima cotton', '23% Lyocell', '8% Lycra® elastane']"
62,https://shop.lululemon.com/p/tops-long-sleeve/Runderful-LS-Brushed/_/prod1900037,"['24', '12', '5', '2', '1']","['91% Nylon', '9% Elastane', '88% Polyester', '12% Lycra® elastane']"
63,https://shop.lululemon.com/p/tops-long-sleeve/Its-Rulu-Long-Sleeve/_/prod9200634,"['55', '8', '7', '5', '4']","['91% Nylon', '9% Lycra® elastane', '72% Nylon', '28% Xtra life lycra® elastane']"
64,https://shop.lululemon.com/p/women-tanks/Power-Y-Tank-Luon/_/prod1870029,"['582', '252', '120', '101', '83']",['None listed']
65,https://shop.lululemon.com/p/womens-t-shirts/Love-Tee-Iv/_/prod8351148,"['0', '0', '0', '0', '0']",['None listed']
66,https://shop.lululemon.com/p/women-tanks/Cool-Racerback-luxtreme/_/prod450026,"['15', '1', '6', '1', '1']","['74% Nylon', '26% Lycra® elastane']"
67,https://shop.lululemon.com/p/tops-long-sleeve/Wunder-Train-Cropped-Long-Sleeve/_/prod9960900,"['21', '10', '5', '6', '3']","['77% Nylon', '23% Lycra® elastane']"
68,https://shop.lululemon.com/p/women-tanks/All-Yours-Tank-Veil/_/prod9790150,"['25', '2', '0', '1', '0']","['51% Viscose', '49% Polyester', '35% Polyester', '65% Viscose']"
69,https://shop.lululemon.com/p/tops-short-sleeve/Train-to-Be-Short-Sleeve-Stripe/_/prod9820354,"['10', '0', '0', '3', '5']","['68% Nylon', '29% Polyester', '3% X-static® nylon']"
70,https://shop.lululemon.com/p/women-tanks/Breeze-By-Muscle-Crop-Tank-lululemon/_/prod9270952,"['163', '37', '13', '6', '10']","['65% Nylon', '31% Polyester', '4% X-static® nylon']"
71,https://shop.lululemon.com/p/women-tanks/Train-to-Be-Tank/_/prod9820396,"['114', '15', '13', '8', '7']","['68% Nylon', '29% Polyester', '3% X-static® nylon']"
72,https://shop.lululemon.com/p/tops-short-sleeve/Hold-Tight-Short-Sleeve/_/prod9960704,"['9', '1', '2', '6', '4']","['92% Lenzing® modal', '8% Elastane']"
73,https://shop.lululemon.com/p/women-tanks/Off-and-Running-Tank/_/prod9490302,"['10', '3', '0', '0', '2']","['89% Polyester', '11% Elastane', '73% Nylon', '27% Xtra life lycra® elastane']"
74,https://shop.lululemon.com/p/women-tanks/Sculpt-Tank-Cropped/_/prod9820382,"['47', '8', '4', '1', '1']","['89% Nylon', '11% Elastane', '73% Nylon', '27% Xtra life lycra® elastane']"
75,https://shop.lululemon.com/p/women-tanks/Breeze-By-Muscle-Tank-II-Squad/_/prod9440063,"['144', '29', '11', '11', '8']","['66% Nylon', '31% Polyester', '3% X-static® nylon']"
76,https://shop.lululemon.com/p/womens-t-shirts/Kitsilano-Mock-Neck-Tee/_/prod9790149,"['48', '13', '11', '4', '5']","['92% Pima cotton', '8% Lycra® elastane']"
77,https://shop.lululemon.com/p/women-tanks/Swiftly-Breathe-Crop-Tank-US/_/prod10260060,"['8', '0', '1', '1', '0']","['64% Nylon', '33% Polyester', '3% X-static® nylon']"
78,https://shop.lululemon.com/p/women-tanks/Cut-Back-Crop-Tank/_/prod9270960,"['140', '34', '13', '6', '6']","['92% Pima cotton', '8% Lycra® elastane']"
79,https://shop.lululemon.com/p/tops-short-sleeve/Sunday-Sprint-SS/_/prod9750516,"['23', '3', '1', '6', '1']","['73% Nylon', '27% Xtra life lycra® elastane']"
80,https://shop.lululemon.com/p/tops-short-sleeve/Breeze-By-Short-Sleeve-Squad/_/prod8900622,"['101', '9', '6', '14', '7']","['66% Nylon', '31% Polyester', '3% X-static® nylon']"
81,https://shop.lululemon.com/p/mens-t-shirts/5-Year-Basic-Tee-Best/_/prod9930043,"['0', '0', '0', '0', '0']",['None listed']
82,https://shop.lululemon.com/p/women-tanks/Train-to-Be-Tank-Reg/_/prod9620013,"['114', '15', '13', '8', '7']","['68% Nylon', '32% Polyester']"
83,https://shop.lululemon.com/p/women-tanks/Kitsilano-Mock-Tank/_/prod8351071,"['5', '2', '3', '0', '2']",['None listed']
84,https://shop.lululemon.com/p/women-tanks/Swiftly-Breathe-Muscle-Tank/_/prod10240006,"['22', '4', '1', '1', '2']","['54% Nylon', '40% Recycled polyester', '3% Elastane', '3% X-static® nylon']"
85,https://shop.lululemon.com/p/tops-short-sleeve/LA-All-Yours-Cut-Out-SS/_/prod10390018,"['0', '0', '0', '1', '1']","['92% Pima cotton', '8% Lycra® elastane']"
86,https://shop.lululemon.com/p/tops-long-sleeve/LA-Contour-Slim-Fit-LS/_/prod10390020,"['2', '0', '0', '0', '0']","['92% Pima cotton', '8% Lycra® elastane']"
87,https://shop.lululemon.com/p/tops-long-sleeve/LA-Tight-Fit-LS-Turtleneck/_/prod10390021,"['1', '0', '0', '0', '0']","['96% Modal', '4% Lycra® elastane']"
88,https://shop.lululemon.com/p/tops-long-sleeve/LA-Cut-Out-Waist-Crop-LS/_/prod10390022,"['2', '2', '0', '0', '0']","['96% Modal', '4% Lycra® elastane']"
89,https://shop.lululemon.com/p/tops-short-sleeve/Swiftly-Tech-SS-2-MD/_/prod9940024,"['311', '71', '37', '51', '47']","['54% Nylon', '40% Recycled polyester', '3% Elastane', '3% X-static® nylon']"
90,https://shop.lululemon.com/p/tops-long-sleeve/Swiftly-Tech-LS-Breeze-MD/_/prod9610122,"['310', '53', '30', '38', '25']","['53% Nylon', '41% Polyester', '3% Elastane', '3% X-static® nylon']"
91,https://shop.lululemon.com/p/women-tanks/Essential-Tank-Pleated-MD/_/prod9491530,"['117', '44', '43', '53', '59']","['91% Polyester', '9% Lycra® elastane']"
92,https://shop.lululemon.com/p/women-tanks/Brunswick-Muscle-Tank-MD/_/prod8980112,"['399', '54', '36', '32', '31']","['92% Pima cotton', '8% Lycra® elastane']"
93,https://shop.lululemon.com/p/tops-long-sleeve/Back-In-Action-Ls-MD/_/prod8970071,"['462', '65', '56', '76', '72']","['92% Pima cotton', '8% Lycra® elastane']"
94,https://shop.lululemon.com/p/women-tanks/All-Tied-Up-Tank-MD/_/prod8360068,"['461', '95', '34', '41', '25']","['92% Pima cotton', '8% Lycra® elastane']"
95,https://shop.lululemon.com/p/tops-long-sleeve/Swiftly-Tech-LS-2-MD/_/prod9940023,"['330', '109', '62', '75', '71']","['54% Nylon', '40% Recycled polyester', '3% Elastane', '3% X-static® nylon']"
96,https://shop.lululemon.com/p/tops-long-sleeve/Swiftly-Tech-LS-Breeze-MD/_/prod9000058,"['310', '53', '30', '38', '25']","['66% Nylon', '31% Polyester', '3% X-static® nylon']"
97,https://shop.lululemon.com/p/women-tanks/Cool-Racerback-II-Nulu-MD/_/prod8840243,"['416', '83', '47', '52', '31']","['81% Nylon', '19% Lycra® elastane']"
98,https://shop.lululemon.com/p/tops-short-sleeve/Run-Swiftly-Tech-Short-Sleeve-Crew-M-D/_/prod10220052,"['113', '44', '43', '45', '44']","['58% Nylon', '38% Polyester', '4% X-static® nylon']"
99,https://shop.lululemon.com/p/womens-t-shirts/LA-All-Yours-Tee-MD/_/prod9860126,"['9', '3', '3', '2', '2']","['92% Pima cotton', '6% Lycra® elastane', '1% Polyester', '1% Viscose']"
100,https://shop.lululemon.com/p/tops-short-sleeve/Swiftly-Tech-Short-Sleeve-2-Race-MD/_/prod10060077,"['75', '18', '16', '4', '14']","['52% Nylon', '41% Polyester', '4% Elastane', '3% X-static® nylon']"
101,https://shop.lululemon.com/p/women-tanks/Ebb-To-Street-Tank-Shine-MD/_/prod9730009,"['3', '1', '1', '2', '0']","['87% Nylon', '13% Elastane', '87% Nylon', '9% Polyester', '4% Lurex® metallic']"
102,https://shop.lululemon.com/p/tops-short-sleeve/Shift-in-Time-Short-Sleeve-MD/_/prod10390210,"['11', '1', '0', '1', '0']","['86% Polyester', '14% Elastane', '78% Nylon', '22% Lycra® elastane', '100% Polyester']"
103,https://shop.lululemon.com/p/tops-long-sleeve/Runderful-LS-MD/_/prod8260346,"['180', '42', '35', '22', '21']","['91% Nylon', '9% Elastane', '83% Nylon', '17% Lycra® elastane']"
104,https://shop.lululemon.com/p/women-tanks/Align-Tank-MD/_/prod9980085,"['1058', '282', '161', '90', '65']","['89% Nylon', '11% Elastane', '81% Nylon', '19% Lycra® elastane']"
105,https://shop.lululemon.com/p/women-tanks/Cinch-Me-Up-Tank-MD/_/prod9280384,"['95', '18', '10', '5', '3']","['55% Viscose', '45% Polyester', '35% Polyester', '65% Viscose']"
106,https://shop.lululemon.com/p/tops-long-sleeve/Swiftly-Tech-Long-Sleeve-2-Race-MD/_/prod9820340,"['25', '5', '4', '2', '6']","['51% Nylon', '44% Polyester', '3% Elastane', '2% X-static® nylon']"
107,https://shop.lululemon.com/p/women-tanks/Time-to-Restore-Tank-MD/_/prod9491418,"['11', '1', '2', '0', '1']","['92% Pima cotton', '8% Lycra® elastane']"
108,https://shop.lululemon.com/p/tops-long-sleeve/Up-for-Down-Time-LS-MD/_/prod10300113,"['33', '7', '2', '2', '5']","['86% Modal', '8% Silk', '6% Elastane']"
109,https://shop.lululemon.com/p/women-tanks/Muscle-Love-Crop-Tank-Tough-MD/_/prod10060073,"['23', '3', '1', '4', '2']","['88% Nylon', '12% Elastane']"
110,https://shop.lululemon.com/p/tops-long-sleeve/Back-in-Action-LS-Rulu-MD/_/prod9491527,"['39', '6', '2', '3', '5']","['87% Nylon', '13% Lycra® elastane']"
111,https://shop.lululemon.com/p/women-tanks/Swiftly-Tech-RB-2-Race-MD/_/prod9900002,"['240', '33', '7', '8', '6']","['51% Nylon', '44% Polyester', '3% Elastane', '2% X-static® nylon']"
112,https://shop.lululemon.com/p/tops-long-sleeve/Swiftly-Breathe-LS-MD/_/prod10320002,"['41', '9', '2', '2', '1']","['54% Nylon', '40% Recycled polyester', '3% Elastane', '3% X-static® nylon']"
113,https://shop.lululemon.com/p/tops-long-sleeve/Ever-Ready-Long-Sleeve-MD/_/prod10390308,"['31', '4', '4', '3', '0']","['92% Pima cotton', '8% Lycra® elastane']"
114,https://shop.lululemon.com/p/women-tanks/Free-To-Be-Tank-Everlux-MD/_/prod9370429,"['60', '14', '12', '8', '9']","['89% Nylon', '11% Elastane', '56% Polyester', '33% Coolmax® polyester', '11% Lycra® elastane', '77% Nylon', '23% Lycra® elastane']"
115,https://shop.lululemon.com/p/tops-long-sleeve/All-Aligned-Mock-Neck-LS-CV-MD/_/prod10260081,"['15', '6', '3', '4', '1']","['85% Nylon', '15% Xtra life lycra® elastane']"
116,https://shop.lululemon.com/p/women-tanks/Swiftly-Tech-Racerback-2-MD/_/prod9910044,"['232', '61', '43', '37', '50']","['54% Nylon', '40% Recycled polyester', '3% Elastane', '3% X-static® nylon']"
117,https://shop.lululemon.com/p/tops-long-sleeve/Keep-The-Heat-Thermal-Long-Sleeve-MD/_/prod9201308,"['32', '4', '15', '7', '10']","['55% Wool', '42% Nylon', '3% Elastane']"
118,https://shop.lululemon.com/p/tops-short-sleeve/All-Yours-Short-Sleeve-Train-MD/_/prod10390311,"['10', '5', '7', '4', '1']","['88% Nylon', '12% Elastane']"
119,https://shop.lululemon.com/p/tops-long-sleeve/Chase-the-Chill-Long-Sleeve-MD/_/prod10260095,"['6', '3', '3', '3', '1']","['86% Nylon', '14% Lycra® elastane', '82% Nylon', '18% Lycra® elastane']"
120,https://shop.lululemon.com/p/women-tanks/Cut-Back-Crop-Tank-Wash-MD/_/prod9810014,"['58', '19', '14', '9', '2']","['92% Pima cotton', '8% Lycra® elastane']"
121,https://shop.lululemon.com/p/tops-long-sleeve/Run-Briskly-half-Zip-MD/_/prod9201306,"['37', '18', '15', '8', '6']","['56% Polyester', '33% Coolmax® polyester', '11% Lycra® elastane', '53% Nylon', '38% Polyester', '9% Lycra® elastane']"
122,https://shop.lululemon.com/p/women-tanks/All-Yours-Crop-Tank-MD/_/prod9710405,"['7', '3', '2', '0', '2']","['69% Pima cotton', '23% Lyocell', '8% Lycra® elastane']"
123,https://shop.lululemon.com/p/tops-short-sleeve/Love-Crew-IIi-MD/_/prod8720137,"['502', '87', '82', '95', '91']","['92% Pima cotton', '8% Lycra® elastane']"
124,https://shop.lululemon.com/p/tops-long-sleeve/Train-to-Be-LS-MD/_/prod9780178,"['48', '10', '7', '6', '5']","['68% Nylon', '32% Polyester']"
125,https://shop.lululemon.com/p/tops-long-sleeve/Close-to-Crossing-LS-Rulu-MD/_/prod9491451,"['43', '26', '19', '19', '8']","['91% Nylon', '9% Lycra® elastane']"
126,https://shop.lululemon.com/p/women-tanks/Full-day-Ahead-Tank-MD/_/prod9850002,"['149', '35', '21', '13', '24']","['92% Lenzing® modal', '8% Elastane']"
127,https://shop.lululemon.com/p/tops-short-sleeve/Swiftly-Tech-SS-2-Shibori-MD/_/prod10410011,"['0', '0', '0', '1', '0']","['60% Nylon', '35% Polyester', '3% Elastane', '2% X-static® nylon']"
128,https://shop.lululemon.com/p/women-tanks/All-Yours-Tank-MD/_/prod9780099,"['125', '29', '20', '16', '16']","['69% Pima cotton', '23% Lyocell', '8% Lycra® elastane']"
129,https://shop.lululemon.com/p/womens-t-shirts/Love-Tee-V-MD/_/prod8781019,"['205', '69', '51', '71', '76']","['92% Pima cotton', '8% Lycra® elastane']"
130,https://shop.lululemon.com/p/tops-long-sleeve/Its-Rulu-Long-Sleeve-MD/_/prod9201315,"['55', '8', '7', '5', '4']","['91% Nylon', '9% Lycra® elastane', '72% Nylon', '28% Lycra® elastane']"
131,https://shop.lululemon.com/p/women-tanks/See-The-Horizon-Tank-MD/_/prod9491416,"['78', '29', '9', '12', '13']","['75% Polyester', '19% Lyocell', '6% Lycra® elastane']"
132,https://shop.lululemon.com/p/tops-long-sleeve/Emerald-Long-Sleeve-MD/_/prod9230268,"['189', '40', '23', '32', '36']","['92% Pima cotton', '8% Lycra® elastane']"
133,https://shop.lululemon.com/p/womens-t-shirts/Tee-Cloud-Wash-MD/_/prod10410008,"['51', '5', '1', '3', '1']","['100% Pima cotton', '98% Pima cotton', '2% Lycra® elastane']"
134,https://shop.lululemon.com/p/women-tanks/Sculpt-Tank-Cropped-MD/_/prod10030005,"['47', '8', '4', '1', '1']","['89% Nylon', '11% Elastane', '73% Nylon', '27% Xtra life lycra® elastane']"
135,https://shop.lululemon.com/p/tops-short-sleeve/Love-Crew-Splatter-MD/_/prod10400429,"['7', '1', '0', '0', '0']","['92% Pima cotton', '8% Lycra® elastane']"
136,https://shop.lululemon.com/p/tops-short-sleeve/Swiftly-Tech-SS-Breeze-MD/_/prod10210219,"['181', '32', '32', '27', '15']","['66% Nylon', '31% Polyester', '3% X-static® nylon']"
137,https://shop.lululemon.com/p/women-tanks/Cut-Back-Crop-Tank-MD/_/prod8670155,"['140', '34', '13', '6', '6']","['92% Pima cotton', '8% Lycra® elastane']"
138,https://shop.lululemon.com/p/women-tanks/Run-Swiftly-Racerback-MD/_/prod2820001,"['813', '255', '218', '221', '220']","['58% Nylon', '38% Polyester', '4% X-static® nylon']"
139,https://shop.lululemon.com/p/tops-short-sleeve/Tee-Burnout-MD/_/prod9370360,"['2', '0', '0', '1', '0']","['55% Viscose', '45% Polyester', '35% Polyester', '65% Viscose']"
140,https://shop.lululemon.com/p/women-tanks/Sculpt-Tank-MD/_/prod7030032,"['479', '114', '61', '48', '55']","['73% Nylon', '27% Xtra life lycra® elastane', '89% Nylon', '11% Elastane']"
141,https://shop.lululemon.com/p/womens-t-shirts/Love-Crew-Fade-MD/_/prod9280259,"['62', '10', '8', '10', '13']","['92% Pima cotton', '8% Lycra® elastane']"
142,https://shop.lululemon.com/p/women-tanks/Love-Tank-Pleated-MD/_/prod8980109,"['595', '128', '89', '96', '86']","['92% Pima cotton', '8% Lycra® elastane']"
143,https://shop.lululemon.com/p/women-bodysuits/Power-Y-Bodysuit-Nulu-MD/_/prod9980091,"['28', '7', '2', '0', '1']","['89% Nylon', '11% Elastane', '56% Polyester', '33% Coolmax® polyester', '11% Lycra® elastane', '81% Nylon', '19% Lycra® elastane']"
