,product_name,url,current_price,old_price
0,lululemon Align™ Tank *Gathered-Front,https://shop.lululemon.com/p/women-tanks/Align-Tank-Gathered-Front/_/prod10460028,$68,
1,lululemon Align™ Tank,https://shop.lululemon.com/p/women-tanks/Align-Tank/_/prod9600539,$58,
2,Gloss Trim Run 1/2 Zip Long Sleeve,https://shop.lululemon.com/p/womens-outerwear/Gloss-Trim-Run-12-Zip-Long-Sleeve/_/prod10370114,$108,
3,Back In Action Long Sleeve,https://shop.lululemon.com/p/tops-long-sleeve/Back-In-Action-Ls/_/prod8555454,$58-$68,
4,Back In Action Short Sleeve,https://shop.lululemon.com/p/tops-short-sleeve/Back-In-Action-Ss/_/prod8690614,$48,
5,Cates Tee,https://shop.lululemon.com/p/womens-t-shirts/Cates-Tee/_/prod9271065,$48,
6,Relaxed Fit Organic Cotton Tee,https://shop.lululemon.com/p/womens-t-shirts/Relaxed-Fit-Cotton-Tee/_/prod10370182,$58,
7,Everlux™ and Mesh Cropped Short Sleeve,https://shop.lululemon.com/p/womens-t-shirts/Everlux-and-Mesh-Cropped-Short-Sleeve/_/prod10370101,$78,
8,Everlux™ and Mesh Cropped Tank,https://shop.lululemon.com/p/women-tanks/Everlux-and-Mesh-Cropped-Tank/_/prod10370102,$68,
9,Power Pivot Tank *Everlux,https://shop.lululemon.com/p/women-tanks/Power-Pivot-Tank-Everlux/_/prod9820381,$58,
10,Power Pivot Tank *Rib,https://shop.lululemon.com/p/women-tanks/Power-Pivot-Tank-Rib/_/prod9750455,$58,
11,All Yours Tank,https://shop.lululemon.com/p/women-tanks/All-Yours-Tank/_/prod9600540,$44,
12,Swiftly Tech Racerback 2.0,https://shop.lululemon.com/p/women-tanks/Swiftly-Tech-Racerback-2/_/prod9750459,$58,
13,Swiftly Tech Long Sleeve 2.0,https://shop.lululemon.com/p/tops-long-sleeve/Swiftly-Tech-LS-2/_/prod9750543,$78,
14,Swiftly Tech Short Sleeve 2.0,https://shop.lululemon.com/p/tops-short-sleeve/Swiftly-Tech-SS-2/_/prod9750519,$68,
15,Wunder Train Cropped Long Sleeve *Online Only,https://shop.lululemon.com/p/tops-long-sleeve/Wunder-Train-Cropped-Long-Sleeve/_/prod9960900,$88,
16,Long Distance Short Sleeve,https://shop.lululemon.com/p/womens-t-shirts/Long-Distance-Ss/_/prod8555406,$58,
17,Cool Racerback II *Nulu,https://shop.lululemon.com/p/women-tanks/Cool-Racerback-II-Nulu/_/prod8780623,$48,
18,Cool Racerback Shorter Length *Nulu,https://shop.lululemon.com/p/women-tanks/Cool-Racerback-Tank-Short-Nulu/_/prod9750445,$48-$58,
19,Train to Be Tank *Camo,https://shop.lululemon.com/p/women-tanks/Train-to-Be-Tank-Camo/_/prod10460002,$58,
20,Train to Be Short Sleeve *Stripe,https://shop.lululemon.com/p/womens-t-shirts/Train-to-Be-Short-Sleeve-Stripe/_/prod9820354,$68,
21,Love Tank *Pleated,https://shop.lululemon.com/p/women-tanks/Love-Tank-Pleated/_/prod8980076,$38,
22,All Yours Crop Tank,https://shop.lululemon.com/p/women-tanks/All-Yours-Crop-Tank/_/prod9960619,$44-$48,
23,All Yours Tee,https://shop.lululemon.com/p/womens-t-shirts/All-Yours-Tee/_/prod9370070,$58,
24,Nulu™ Cropped Slim Yoga Short Sleeve,https://shop.lululemon.com/p/tops-short-sleeve/Nulu-Cropped-Slim-Yoga-Short-Sleeve/_/prod10370144,$68,
25,Love Crew III,https://shop.lululemon.com/p/womens-t-shirts/Love-Crew-III/_/prod8690612,$48,
