,product_name,url,current_price,old_price,stars,material,type,total_reviews,avg_rating,material_clean,material_clean_list,five_stars,four_stars,three_stars,two_stars,one_stars
68,All Yours Tank *Veil,https://shop.lululemon.com/p/women-tanks/All-Yours-Tank-Veil/_/prod9790150,65,65,"['25', '2', '0', '1', '0']","['51% Viscose', '49% Polyester', '35% Polyester', '65% Viscose']",women-tanks,28,4.821428571428571,"['Polyester', 'Viscose']","Polyester,Viscose",25,2,0,1,0
69,Train to Be Short Sleeve *Stripe,https://shop.lululemon.com/p/tops-short-sleeve/Train-to-Be-Short-Sleeve-Stripe/_/prod9820354,68,68,"['10', '0', '0', '3', '5']","['68% Nylon', '29% Polyester', '3% X-static® nylon']",tops-short-sleeve,18,3.388888888888889,"['Nylon', 'Polyester', 'X-static® nylon']","Nylon,Polyester,X-static® nylon",10,0,0,3,5
70,Breeze By Muscle Crop Tank *lululemon,https://shop.lululemon.com/p/women-tanks/Breeze-By-Muscle-Crop-Tank-lululemon/_/prod9270952,58,58,"['163', '37', '13', '6', '10']","['65% Nylon', '31% Polyester', '4% X-static® nylon']",women-tanks,229,4.471615720524017,"['Nylon', 'Polyester', 'X-static® nylon']","Nylon,Polyester,X-static® nylon",163,37,13,6,10
71,Train to Be Tank,https://shop.lululemon.com/p/women-tanks/Train-to-Be-Tank/_/prod9820396,58,58,"['114', '15', '13', '8', '7']","['68% Nylon', '29% Polyester', '3% X-static® nylon']",women-tanks,157,4.407643312101911,"['Nylon', 'Polyester', 'X-static® nylon']","Nylon,Polyester,X-static® nylon",114,15,13,8,7
72,Hold Tight Short Sleeve *Rib,https://shop.lululemon.com/p/tops-short-sleeve/Hold-Tight-Short-Sleeve/_/prod9960704,58,58,"['9', '1', '2', '6', '4']","['92% Lenzing® modal', '8% Elastane']",tops-short-sleeve,22,3.227272727272727,"['Elastane', 'Lenzing® modal']","Elastane,Lenzing® modal",9,1,2,6,4
73,Off and Running Tank,https://shop.lululemon.com/p/women-tanks/Off-and-Running-Tank/_/prod9490302,58,58,"['10', '3', '0', '0', '2']","['89% Polyester', '11% Elastane', '73% Nylon', '27% Xtra life lycra® elastane']",women-tanks,15,4.266666666666667,"['Elastane', 'Nylon', 'Polyester', 'Xtra life lycra® elastane']","Elastane,Nylon,Polyester,Xtra life lycra® elastane",10,3,0,0,2
74,Sculpt Tank *Cropped,https://shop.lululemon.com/p/women-tanks/Sculpt-Tank-Cropped/_/prod9820382,48,48,"['47', '8', '4', '1', '1']","['89% Nylon', '11% Elastane', '73% Nylon', '27% Xtra life lycra® elastane']",women-tanks,61,4.622950819672131,"['Elastane', 'Nylon', 'Xtra life lycra® elastane']","Elastane,Nylon,Xtra life lycra® elastane",47,8,4,1,1
75,Breeze By Muscle Tank II *Squad,https://shop.lululemon.com/p/women-tanks/Breeze-By-Muscle-Tank-II-Squad/_/prod9440063,58,58,"['144', '29', '11', '11', '8']","['66% Nylon', '31% Polyester', '3% X-static® nylon']",women-tanks,203,4.428571428571429,"['Nylon', 'Polyester', 'X-static® nylon']","Nylon,Polyester,X-static® nylon",144,29,11,11,8
76,Kitsilano Mock Neck Tee,https://shop.lululemon.com/p/womens-t-shirts/Kitsilano-Mock-Neck-Tee/_/prod9790149,58,58,"['48', '13', '11', '4', '5']","['92% Pima cotton', '8% Lycra® elastane']",womens-t-shirts,81,4.172839506172839,"['Lycra® elastane', 'Pima cotton']","Lycra® elastane,Pima cotton",48,13,11,4,5
77,Swiftly Breathe Crop Tank,https://shop.lululemon.com/p/women-tanks/Swiftly-Breathe-Crop-Tank-US/_/prod10260060,58,58,"['8', '0', '1', '1', '0']","['64% Nylon', '33% Polyester', '3% X-static® nylon']",women-tanks,10,4.5,"['Nylon', 'Polyester', 'X-static® nylon']","Nylon,Polyester,X-static® nylon",8,0,1,1,0
78,Cut Back Crop Tank,https://shop.lululemon.com/p/women-tanks/Cut-Back-Crop-Tank/_/prod9270960,38,38,"['140', '34', '13', '6', '6']","['92% Pima cotton', '8% Lycra® elastane']",women-tanks,199,4.4874371859296485,"['Lycra® elastane', 'Pima cotton']","Lycra® elastane,Pima cotton",140,34,13,6,6
79,Sunday Sprint Short Sleeve,https://shop.lululemon.com/p/tops-short-sleeve/Sunday-Sprint-SS/_/prod9750516,68,68,"['23', '3', '1', '6', '1']","['73% Nylon', '27% Xtra life lycra® elastane']",tops-short-sleeve,34,4.205882352941177,"['Nylon', 'Xtra life lycra® elastane']","Nylon,Xtra life lycra® elastane",23,3,1,6,1
80,Breeze By Short Sleeve *Squad,https://shop.lululemon.com/p/tops-short-sleeve/Breeze-By-Short-Sleeve-Squad/_/prod8900622,68,68,"['101', '9', '6', '14', '7']","['66% Nylon', '31% Polyester', '3% X-static® nylon']",tops-short-sleeve,137,4.335766423357664,"['Nylon', 'Polyester', 'X-static® nylon']","Nylon,Polyester,X-static® nylon",101,9,6,14,7
81,5 Year Basic Tee *Best,https://shop.lululemon.com/p/mens-t-shirts/5-Year-Basic-Tee-Best/_/prod9930043,58,58,"['0', '0', '0', '0', '0']",['None listed'],mens-t-shirts,0,0.0,['None listed'],None listed,0,0,0,0,0
82,Train to Be Tank,https://shop.lululemon.com/p/women-tanks/Train-to-Be-Tank-Reg/_/prod9620013,58,58,"['114', '15', '13', '8', '7']","['68% Nylon', '32% Polyester']",women-tanks,157,4.407643312101911,"['Nylon', 'Polyester']","Nylon,Polyester",114,15,13,8,7
83,Kitsilano Mock Tank,https://shop.lululemon.com/p/women-tanks/Kitsilano-Mock-Tank/_/prod8351071,48,48,"['5', '2', '3', '0', '2']",['None listed'],women-tanks,12,3.6666666666666665,['None listed'],None listed,5,2,3,0,2
84,Swiftly Breathe Muscle Tank,https://shop.lululemon.com/p/women-tanks/Swiftly-Breathe-Muscle-Tank/_/prod10240006,58,58,"['22', '4', '1', '1', '2']","['54% Nylon', '40% Recycled polyester', '3% Elastane', '3% X-static® nylon']",women-tanks,30,4.433333333333334,"['Elastane', 'Nylon', 'Recycled polyester', 'X-static® nylon']","Elastane,Nylon,Recycled polyester,X-static® nylon",22,4,1,1,2
85,LA All Yours Cut-Out Short Sleeve,https://shop.lululemon.com/p/tops-short-sleeve/LA-All-Yours-Cut-Out-SS/_/prod10390018,68,68,"['0', '0', '0', '1', '1']","['92% Pima cotton', '8% Lycra® elastane']",tops-short-sleeve,2,1.5,"['Lycra® elastane', 'Pima cotton']","Lycra® elastane,Pima cotton",0,0,0,1,1
86,LA Contour Slim Fit Long Sleeve,https://shop.lululemon.com/p/tops-long-sleeve/LA-Contour-Slim-Fit-LS/_/prod10390020,78,78,"['2', '0', '0', '0', '0']","['92% Pima cotton', '8% Lycra® elastane']",tops-long-sleeve,2,5.0,"['Lycra® elastane', 'Pima cotton']","Lycra® elastane,Pima cotton",2,0,0,0,0
87,LA Tight Fit Long Sleeve Turtleneck,https://shop.lululemon.com/p/tops-long-sleeve/LA-Tight-Fit-LS-Turtleneck/_/prod10390021,78,78,"['1', '0', '0', '0', '0']","['96% Modal', '4% Lycra® elastane']",tops-long-sleeve,1,5.0,"['Lycra® elastane', 'Modal']","Lycra® elastane,Modal",1,0,0,0,0
88,LA Cut-Out-Waist Crop Long Sleeve,https://shop.lululemon.com/p/tops-long-sleeve/LA-Cut-Out-Waist-Crop-LS/_/prod10390022,78,78,"['2', '2', '0', '0', '0']","['96% Modal', '4% Lycra® elastane']",tops-long-sleeve,4,4.5,"['Lycra® elastane', 'Modal']","Lycra® elastane,Modal",2,2,0,0,0
89,Swiftly Tech Short Sleeve 2.0,https://shop.lululemon.com/p/tops-short-sleeve/Swiftly-Tech-SS-2-MD/_/prod9940024,39,68,"['311', '71', '37', '51', '47']","['54% Nylon', '40% Recycled polyester', '3% Elastane', '3% X-static® nylon']",tops-short-sleeve,517,4.059961315280464,"['Elastane', 'Nylon', 'Recycled polyester', 'X-static® nylon']","Elastane,Nylon,Recycled polyester,X-static® nylon",311,71,37,51,47
90,Swiftly Relaxed Long Sleeve,https://shop.lululemon.com/p/tops-long-sleeve/Swiftly-Tech-LS-Breeze-MD/_/prod9610122,64,78,"['310', '53', '30', '38', '25']","['53% Nylon', '41% Polyester', '3% Elastane', '3% X-static® nylon']",tops-long-sleeve,456,4.282894736842105,"['Elastane', 'Nylon', 'Polyester', 'X-static® nylon']","Elastane,Nylon,Polyester,X-static® nylon",310,53,30,38,25
91,Essential Tank *Pleated,https://shop.lululemon.com/p/women-tanks/Essential-Tank-Pleated-MD/_/prod9491530,39,58,"['117', '44', '43', '53', '59']","['91% Polyester', '9% Lycra® elastane']",women-tanks,316,3.338607594936709,"['Lycra® elastane', 'Polyester']","Lycra® elastane,Polyester",117,44,43,53,59
92,Brunswick Muscle Tank,https://shop.lululemon.com/p/women-tanks/Brunswick-Muscle-Tank-MD/_/prod8980112,29,44,"['399', '54', '36', '32', '31']","['92% Pima cotton', '8% Lycra® elastane']",women-tanks,552,4.3731884057971016,"['Lycra® elastane', 'Pima cotton']","Lycra® elastane,Pima cotton",399,54,36,32,31
93,Back In Action Long Sleeve,https://shop.lululemon.com/p/tops-long-sleeve/Back-In-Action-Ls-MD/_/prod8970071,39,58,"['462', '65', '56', '76', '72']","['92% Pima cotton', '8% Lycra® elastane']",tops-long-sleeve,731,4.051983584131327,"['Lycra® elastane', 'Pima cotton']","Lycra® elastane,Pima cotton",462,65,56,76,72
94,All Tied Up Tank,https://shop.lululemon.com/p/women-tanks/All-Tied-Up-Tank-MD/_/prod8360068,29,44,"['461', '95', '34', '41', '25']","['92% Pima cotton', '8% Lycra® elastane']",women-tanks,656,4.411585365853658,"['Lycra® elastane', 'Pima cotton']","Lycra® elastane,Pima cotton",461,95,34,41,25
95,Swiftly Tech Long Sleeve 2.0,https://shop.lululemon.com/p/tops-long-sleeve/Swiftly-Tech-LS-2-MD/_/prod9940023,59,78,"['330', '109', '62', '75', '71']","['54% Nylon', '40% Recycled polyester', '3% Elastane', '3% X-static® nylon']",tops-long-sleeve,647,3.8531684698608966,"['Elastane', 'Nylon', 'Recycled polyester', 'X-static® nylon']","Elastane,Nylon,Recycled polyester,X-static® nylon",330,109,62,75,71
96,Swiftly Breeze Long Sleeve *Relaxed Fit,https://shop.lululemon.com/p/tops-long-sleeve/Swiftly-Tech-LS-Breeze-MD/_/prod9000058,64,78,"['310', '53', '30', '38', '25']","['66% Nylon', '31% Polyester', '3% X-static® nylon']",tops-long-sleeve,456,4.282894736842105,"['Nylon', 'Polyester', 'X-static® nylon']","Nylon,Polyester,X-static® nylon",310,53,30,38,25
97,Cool Racerback II *Nulu,https://shop.lululemon.com/p/women-tanks/Cool-Racerback-II-Nulu-MD/_/prod8840243,34,48,"['416', '83', '47', '52', '31']","['81% Nylon', '19% Lycra® elastane']",women-tanks,629,4.273449920508744,"['Lycra® elastane', 'Nylon']","Lycra® elastane,Nylon",416,83,47,52,31
98,Swiftly Tech Short Sleeve Crew,https://shop.lululemon.com/p/tops-short-sleeve/Run-Swiftly-Tech-Short-Sleeve-Crew-M-D/_/prod10220052,29,68,"['113', '44', '43', '45', '44']","['58% Nylon', '38% Polyester', '4% X-static® nylon']",tops-short-sleeve,289,3.4740484429065743,"['Nylon', 'Polyester', 'X-static® nylon']","Nylon,Polyester,X-static® nylon",113,44,43,45,44
99,LA All Yours Tee,https://shop.lululemon.com/p/womens-t-shirts/LA-All-Yours-Tee-MD/_/prod9860126,54,64,"['9', '3', '3', '2', '2']","['92% Pima cotton', '6% Lycra® elastane', '1% Polyester', '1% Viscose']",womens-t-shirts,19,3.789473684210526,"['Lycra® elastane', 'Pima cotton', 'Polyester', 'Viscose']","Lycra® elastane,Pima cotton,Polyester,Viscose",9,3,3,2,2
100,Swiftly Tech Short Sleeve 2.0 *Race Length,https://shop.lululemon.com/p/tops-short-sleeve/Swiftly-Tech-Short-Sleeve-2-Race-MD/_/prod10060077,59,68,"['75', '18', '16', '4', '14']","['52% Nylon', '41% Polyester', '4% Elastane', '3% X-static® nylon']",tops-short-sleeve,127,4.070866141732283,"['Elastane', 'Nylon', 'Polyester', 'X-static® nylon']","Elastane,Nylon,Polyester,X-static® nylon",75,18,16,4,14
101,Ebb To Street Tank *Shine,https://shop.lululemon.com/p/women-tanks/Ebb-To-Street-Tank-Shine-MD/_/prod9730009,49,68,"['3', '1', '1', '2', '0']","['87% Nylon', '13% Elastane', '87% Nylon', '9% Polyester', '4% Lurex® metallic']",women-tanks,7,3.7142857142857144,"['Elastane', 'Lurex® metallic', 'Nylon', 'Polyester']","Elastane,Lurex® metallic,Nylon,Polyester",3,1,1,2,0
102,Shift in Time Short Sleeve,https://shop.lululemon.com/p/tops-short-sleeve/Shift-in-Time-Short-Sleeve-MD/_/prod10390210,59,88,"['11', '1', '0', '1', '0']","['86% Polyester', '14% Elastane', '78% Nylon', '22% Lycra® elastane', '100% Polyester']",tops-short-sleeve,13,4.6923076923076925,"['Elastane', 'Lycra® elastane', 'Nylon', 'Polyester']","Elastane,Lycra® elastane,Nylon,Polyester",11,1,0,1,0
103,Runderful Long Sleeve *Rulu™,https://shop.lululemon.com/p/tops-long-sleeve/Runderful-LS-MD/_/prod8260346,64,88,"['180', '42', '35', '22', '21']","['91% Nylon', '9% Elastane', '83% Nylon', '17% Lycra® elastane']",tops-long-sleeve,300,4.126666666666667,"['Elastane', 'Lycra® elastane', 'Nylon']","Elastane,Lycra® elastane,Nylon",180,42,35,22,21
104,lululemon Align™ Tank,https://shop.lululemon.com/p/women-tanks/Align-Tank-MD/_/prod9980085,44,58,"['1058', '282', '161', '90', '65']","['89% Nylon', '11% Elastane', '81% Nylon', '19% Lycra® elastane']",women-tanks,1656,4.315217391304348,"['Elastane', 'Lycra® elastane', 'Nylon']","Elastane,Lycra® elastane,Nylon",1058,282,161,90,65
105,Cinch Me Up Tank,https://shop.lululemon.com/p/women-tanks/Cinch-Me-Up-Tank-MD/_/prod9280384,24,48,"['95', '18', '10', '5', '3']","['55% Viscose', '45% Polyester', '35% Polyester', '65% Viscose']",women-tanks,131,4.5038167938931295,"['Polyester', 'Viscose']","Polyester,Viscose",95,18,10,5,3
106,Swiftly Tech Long Sleeve 2.0 *Race Length,https://shop.lululemon.com/p/tops-long-sleeve/Swiftly-Tech-Long-Sleeve-2-Race-MD/_/prod9820340,69,78,"['25', '5', '4', '2', '6']","['51% Nylon', '44% Polyester', '3% Elastane', '2% X-static® nylon']",tops-long-sleeve,42,3.9761904761904763,"['Elastane', 'Nylon', 'Polyester', 'X-static® nylon']","Elastane,Nylon,Polyester,X-static® nylon",25,5,4,2,6
107,Time to Restore Tank,https://shop.lululemon.com/p/women-tanks/Time-to-Restore-Tank-MD/_/prod9491418,29,54,"['11', '1', '2', '0', '1']","['92% Pima cotton', '8% Lycra® elastane']",women-tanks,15,4.4,"['Lycra® elastane', 'Pima cotton']","Lycra® elastane,Pima cotton",11,1,2,0,1
108,Up for Down Time Long Sleeve,https://shop.lululemon.com/p/tops-long-sleeve/Up-for-Down-Time-LS-MD/_/prod10300113,54,78,"['33', '7', '2', '2', '5']","['86% Modal', '8% Silk', '6% Elastane']",tops-long-sleeve,49,4.244897959183674,"['Elastane', 'Modal', 'Silk']","Elastane,Modal,Silk",33,7,2,2,5
109,Muscle Love Crop Tank *Tough,https://shop.lululemon.com/p/women-tanks/Muscle-Love-Crop-Tank-Tough-MD/_/prod10060073,39,58,"['23', '3', '1', '4', '2']","['88% Nylon', '12% Elastane']",women-tanks,33,4.242424242424242,"['Elastane', 'Nylon']","Elastane,Nylon",23,3,1,4,2
110,Back in Action Long Sleeve *Rulu,https://shop.lululemon.com/p/tops-long-sleeve/Back-in-Action-LS-Rulu-MD/_/prod9491527,74,88,"['39', '6', '2', '3', '5']","['87% Nylon', '13% Lycra® elastane']",tops-long-sleeve,55,4.290909090909091,"['Lycra® elastane', 'Nylon']","Lycra® elastane,Nylon",39,6,2,3,5
111,Swiftly Tech Racerback 2.0 *Race Length,https://shop.lululemon.com/p/women-tanks/Swiftly-Tech-RB-2-Race-MD/_/prod9900002,39,58,"['240', '33', '7', '8', '6']","['51% Nylon', '44% Polyester', '3% Elastane', '2% X-static® nylon']",women-tanks,294,4.6768707482993195,"['Elastane', 'Nylon', 'Polyester', 'X-static® nylon']","Elastane,Nylon,Polyester,X-static® nylon",240,33,7,8,6
112,Swiftly Breathe Long Sleeve,https://shop.lululemon.com/p/tops-long-sleeve/Swiftly-Breathe-LS-MD/_/prod10320002,64,78,"['41', '9', '2', '2', '1']","['54% Nylon', '40% Recycled polyester', '3% Elastane', '3% X-static® nylon']",tops-long-sleeve,55,4.581818181818182,"['Elastane', 'Nylon', 'Recycled polyester', 'X-static® nylon']","Elastane,Nylon,Recycled polyester,X-static® nylon",41,9,2,2,1
113,Ever Ready Long Sleeve,https://shop.lululemon.com/p/tops-long-sleeve/Ever-Ready-Long-Sleeve-MD/_/prod10390308,39,58,"['31', '4', '4', '3', '0']","['92% Pima cotton', '8% Lycra® elastane']",tops-long-sleeve,42,4.5,"['Lycra® elastane', 'Pima cotton']","Lycra® elastane,Pima cotton",31,4,4,3,0
114,Free To Be Tank *Everlux,https://shop.lululemon.com/p/women-tanks/Free-To-Be-Tank-Everlux-MD/_/prod9370429,49,58,"['60', '14', '12', '8', '9']","['89% Nylon', '11% Elastane', '56% Polyester', '33% Coolmax® polyester', '11% Lycra® elastane', '77% Nylon', '23% Lycra® elastane']",women-tanks,103,4.048543689320389,"['Coolmax® polyester', 'Elastane', 'Lycra® elastane', 'Nylon', 'Polyester']","Coolmax® polyester,Elastane,Lycra® elastane,Nylon,Polyester",60,14,12,8,9
115,All Aligned Mock Neck Long Sleeve *Crushed Velvet,https://shop.lululemon.com/p/tops-long-sleeve/All-Aligned-Mock-Neck-LS-CV-MD/_/prod10260081,59,88,"['15', '6', '3', '4', '1']","['85% Nylon', '15% Xtra life lycra® elastane']",tops-long-sleeve,29,4.0344827586206895,"['Nylon', 'Xtra life lycra® elastane']","Nylon,Xtra life lycra® elastane",15,6,3,4,1
116,Swiftly Tech Racerback 2.0,https://shop.lululemon.com/p/women-tanks/Swiftly-Tech-Racerback-2-MD/_/prod9910044,39,58,"['232', '61', '43', '37', '50']","['54% Nylon', '40% Recycled polyester', '3% Elastane', '3% X-static® nylon']",women-tanks,423,3.91725768321513,"['Elastane', 'Nylon', 'Recycled polyester', 'X-static® nylon']","Elastane,Nylon,Recycled polyester,X-static® nylon",232,61,43,37,50
117,Keep The Heat Thermal Long Sleeve,https://shop.lululemon.com/p/tops-long-sleeve/Keep-The-Heat-Thermal-Long-Sleeve-MD/_/prod9201308,59,98,"['32', '4', '15', '7', '10']","['55% Wool', '42% Nylon', '3% Elastane']",tops-long-sleeve,68,3.6029411764705883,"['Elastane', 'Nylon', 'Wool']","Elastane,Nylon,Wool",32,4,15,7,10
118,All Yours Short Sleeve *Train,https://shop.lululemon.com/p/tops-short-sleeve/All-Yours-Short-Sleeve-Train-MD/_/prod10390311,59,68,"['10', '5', '7', '4', '1']","['88% Nylon', '12% Elastane']",tops-short-sleeve,27,3.7037037037037037,"['Elastane', 'Nylon']","Elastane,Nylon",10,5,7,4,1
119,Chase the Chill Long Sleeve,https://shop.lululemon.com/p/tops-long-sleeve/Chase-the-Chill-Long-Sleeve-MD/_/prod10260095,59,98,"['6', '3', '3', '3', '1']","['86% Nylon', '14% Lycra® elastane', '82% Nylon', '18% Lycra® elastane']",tops-long-sleeve,16,3.625,"['Lycra® elastane', 'Nylon']","Lycra® elastane,Nylon",6,3,3,3,1
120,Cut Back Crop Tank *Wash,https://shop.lululemon.com/p/women-tanks/Cut-Back-Crop-Tank-Wash-MD/_/prod9810014,29,44,"['58', '19', '14', '9', '2']","['92% Pima cotton', '8% Lycra® elastane']",women-tanks,102,4.196078431372549,"['Lycra® elastane', 'Pima cotton']","Lycra® elastane,Pima cotton",58,19,14,9,2
121,Run Briskly 1/2 Zip,https://shop.lululemon.com/p/tops-long-sleeve/Run-Briskly-half-Zip-MD/_/prod9201306,69,98,"['37', '18', '15', '8', '6']","['56% Polyester', '33% Coolmax® polyester', '11% Lycra® elastane', '53% Nylon', '38% Polyester', '9% Lycra® elastane']",tops-long-sleeve,84,3.857142857142857,"['Coolmax® polyester', 'Lycra® elastane', 'Nylon', 'Polyester']","Coolmax® polyester,Lycra® elastane,Nylon,Polyester",37,18,15,8,6
122,All Yours Crop Tank,https://shop.lululemon.com/p/women-tanks/All-Yours-Crop-Tank-MD/_/prod9710405,29,48,"['7', '3', '2', '0', '2']","['69% Pima cotton', '23% Lyocell', '8% Lycra® elastane']",women-tanks,14,3.9285714285714284,"['Lycra® elastane', 'Lyocell', 'Pima cotton']","Lycra® elastane,Lyocell,Pima cotton",7,3,2,0,2
123,Love Crew III,https://shop.lululemon.com/p/tops-short-sleeve/Love-Crew-IIi-MD/_/prod8720137,29,48,"['502', '87', '82', '95', '91']","['92% Pima cotton', '8% Lycra® elastane']",tops-short-sleeve,857,3.9498249708284714,"['Lycra® elastane', 'Pima cotton']","Lycra® elastane,Pima cotton",502,87,82,95,91
124,Train to Be Long Sleeve,https://shop.lululemon.com/p/tops-long-sleeve/Train-to-Be-LS-MD/_/prod9780178,69,78,"['48', '10', '7', '6', '5']","['68% Nylon', '32% Polyester']",tops-long-sleeve,76,4.184210526315789,"['Nylon', 'Polyester']","Nylon,Polyester",48,10,7,6,5
125,Close to Crossing Long Sleeve *Rulu,https://shop.lululemon.com/p/tops-long-sleeve/Close-to-Crossing-LS-Rulu-MD/_/prod9491451,59,88,"['43', '26', '19', '19', '8']","['91% Nylon', '9% Lycra® elastane']",tops-long-sleeve,115,3.6695652173913045,"['Lycra® elastane', 'Nylon']","Lycra® elastane,Nylon",43,26,19,19,8
126,Full Day Ahead Tank,https://shop.lululemon.com/p/women-tanks/Full-day-Ahead-Tank-MD/_/prod9850002,34,64,"['149', '35', '21', '13', '24']","['92% Lenzing® modal', '8% Elastane']",women-tanks,242,4.12396694214876,"['Elastane', 'Lenzing® modal']","Elastane,Lenzing® modal",149,35,21,13,24
127,Swiftly Tech Short Sleeve 2.0 *Shibori,https://shop.lululemon.com/p/tops-short-sleeve/Swiftly-Tech-SS-2-Shibori-MD/_/prod10410011,64,78,"['0', '0', '0', '1', '0']","['60% Nylon', '35% Polyester', '3% Elastane', '2% X-static® nylon']",tops-short-sleeve,1,2.0,"['Elastane', 'Nylon', 'Polyester', 'X-static® nylon']","Elastane,Nylon,Polyester,X-static® nylon",0,0,0,1,0
128,All Yours Tank,https://shop.lululemon.com/p/women-tanks/All-Yours-Tank-MD/_/prod9780099,29,44,"['125', '29', '20', '16', '16']","['69% Pima cotton', '23% Lyocell', '8% Lycra® elastane']",women-tanks,206,4.121359223300971,"['Lycra® elastane', 'Lyocell', 'Pima cotton']","Lycra® elastane,Lyocell,Pima cotton",125,29,20,16,16
129,Love Tee V,https://shop.lululemon.com/p/womens-t-shirts/Love-Tee-V-MD/_/prod8781019,39,48,"['205', '69', '51', '71', '76']","['92% Pima cotton', '8% Lycra® elastane']",womens-t-shirts,472,3.542372881355932,"['Lycra® elastane', 'Pima cotton']","Lycra® elastane,Pima cotton",205,69,51,71,76
130,It's Rulu Long Sleeve,https://shop.lululemon.com/p/tops-long-sleeve/Its-Rulu-Long-Sleeve-MD/_/prod9201315,64,88,"['55', '8', '7', '5', '4']","['91% Nylon', '9% Lycra® elastane', '72% Nylon', '28% Lycra® elastane']",tops-long-sleeve,79,4.329113924050633,"['Lycra® elastane', 'Nylon']","Lycra® elastane,Nylon",55,8,7,5,4
131,See The Horizon Tank,https://shop.lululemon.com/p/women-tanks/See-The-Horizon-Tank-MD/_/prod9491416,29,48,"['78', '29', '9', '12', '13']","['75% Polyester', '19% Lyocell', '6% Lycra® elastane']",women-tanks,141,4.042553191489362,"['Lycra® elastane', 'Lyocell', 'Polyester']","Lycra® elastane,Lyocell,Polyester",78,29,9,12,13
132,Emerald Long Sleeve,https://shop.lululemon.com/p/tops-long-sleeve/Emerald-Long-Sleeve-MD/_/prod9230268,49,58,"['189', '40', '23', '32', '36']","['92% Pima cotton', '8% Lycra® elastane']",tops-long-sleeve,320,3.98125,"['Lycra® elastane', 'Pima cotton']","Lycra® elastane,Pima cotton",189,40,23,32,36
133,All Yours Tee *Tie Dye,https://shop.lululemon.com/p/womens-t-shirts/Tee-Cloud-Wash-MD/_/prod10410008,54,64,"['51', '5', '1', '3', '1']","['100% Pima cotton', '98% Pima cotton', '2% Lycra® elastane']",womens-t-shirts,61,4.672131147540983,"['Lycra® elastane', 'Pima cotton']","Lycra® elastane,Pima cotton",51,5,1,3,1
134,Sculpt Tank *Cropped,https://shop.lululemon.com/p/women-tanks/Sculpt-Tank-Cropped-MD/_/prod10030005,39,48,"['47', '8', '4', '1', '1']","['89% Nylon', '11% Elastane', '73% Nylon', '27% Xtra life lycra® elastane']",women-tanks,61,4.622950819672131,"['Elastane', 'Nylon', 'Xtra life lycra® elastane']","Elastane,Nylon,Xtra life lycra® elastane",47,8,4,1,1
135,Love Crew *Splatter,https://shop.lululemon.com/p/tops-short-sleeve/Love-Crew-Splatter-MD/_/prod10400429,44,54,"['7', '1', '0', '0', '0']","['92% Pima cotton', '8% Lycra® elastane']",tops-short-sleeve,8,4.875,"['Lycra® elastane', 'Pima cotton']","Lycra® elastane,Pima cotton",7,1,0,0,0
136,Swiftly Breeze Short Sleeve *Relaxed Fit,https://shop.lululemon.com/p/tops-short-sleeve/Swiftly-Tech-SS-Breeze-MD/_/prod10210219,59,68,"['181', '32', '32', '27', '15']","['66% Nylon', '31% Polyester', '3% X-static® nylon']",tops-short-sleeve,287,4.174216027874564,"['Nylon', 'Polyester', 'X-static® nylon']","Nylon,Polyester,X-static® nylon",181,32,32,27,15
137,Cut Back Crop Tank,https://shop.lululemon.com/p/women-tanks/Cut-Back-Crop-Tank-MD/_/prod8670155,29,38,"['140', '34', '13', '6', '6']","['92% Pima cotton', '8% Lycra® elastane']",women-tanks,199,4.4874371859296485,"['Lycra® elastane', 'Pima cotton']","Lycra® elastane,Pima cotton",140,34,13,6,6
138,Swiftly Tech Racerback,https://shop.lululemon.com/p/women-tanks/Run-Swiftly-Racerback-MD/_/prod2820001,39,58,"['813', '255', '218', '221', '220']","['58% Nylon', '38% Polyester', '4% X-static® nylon']",women-tanks,1727,3.7064273306311524,"['Nylon', 'Polyester', 'X-static® nylon']","Nylon,Polyester,X-static® nylon",813,255,218,221,220
139,All Yours Tee *Veil,https://shop.lululemon.com/p/tops-short-sleeve/Tee-Burnout-MD/_/prod9370360,59,68,"['2', '0', '0', '1', '0']","['55% Viscose', '45% Polyester', '35% Polyester', '65% Viscose']",tops-short-sleeve,3,4.0,"['Polyester', 'Viscose']","Polyester,Viscose",2,0,0,1,0
140,Sculpt Tank,https://shop.lululemon.com/p/women-tanks/Sculpt-Tank-MD/_/prod7030032,39,58,"['479', '114', '61', '48', '55']","['73% Nylon', '27% Xtra life lycra® elastane', '89% Nylon', '11% Elastane']",women-tanks,757,4.207397622192866,"['Elastane', 'Nylon', 'Xtra life lycra® elastane']","Elastane,Nylon,Xtra life lycra® elastane",479,114,61,48,55
141,Love Crew *Fade,https://shop.lululemon.com/p/womens-t-shirts/Love-Crew-Fade-MD/_/prod9280259,44,54,"['62', '10', '8', '10', '13']","['92% Pima cotton', '8% Lycra® elastane']",womens-t-shirts,103,3.9514563106796117,"['Lycra® elastane', 'Pima cotton']","Lycra® elastane,Pima cotton",62,10,8,10,13
142,Love Tank *Pleated,https://shop.lululemon.com/p/women-tanks/Love-Tank-Pleated-MD/_/prod8980109,29,38,"['595', '128', '89', '96', '86']","['92% Pima cotton', '8% Lycra® elastane']",women-tanks,994,4.056338028169014,"['Lycra® elastane', 'Pima cotton']","Lycra® elastane,Pima cotton",595,128,89,96,86
