,product_name,url,current_price,old_price,stars,material,type,total_reviews,avg_rating,material_clean,material_clean_list,five_stars,four_stars,three_stars,two_stars,one_stars
16,Long Distance Short Sleeve,https://shop.lululemon.com/p/tops-short-sleeve/Long-Distance-Ss/_/prod8555406,58,58,"['109', '21', '35', '35', '40']","['90% Recycled nylon', '8% Lycra® elastane', '2% X-static® nylon']",tops-short-sleeve,240,3.5166666666666666,"['Lycra® elastane', 'Recycled nylon', 'X-static® nylon']","Lycra® elastane,Recycled nylon,X-static® nylon",109,21,35,35,40
17,All Yours Tee,https://shop.lululemon.com/p/womens-t-shirts/All-Yours-Tee/_/prod9370070,58,58,"['347', '51', '33', '33', '30']","['69% Pima cotton', '23% Lyocell', '8% Lycra® elastane']",womens-t-shirts,494,4.319838056680162,"['Lycra® elastane', 'Lyocell', 'Pima cotton']","Lycra® elastane,Lyocell,Pima cotton",347,51,33,33,30
18,Time To Restore Short Sleeve,https://shop.lululemon.com/p/tops-short-sleeve/Time-To-Restore-Short-Sleeve/_/prod9200600,58,58,"['22', '2', '6', '2', '1']","['92% Pima cotton', '8% Lycra® elastane']",tops-short-sleeve,33,4.2727272727272725,"['Lycra® elastane', 'Pima cotton']","Lycra® elastane,Pima cotton",22,2,6,2,1
19,Love Crew *Splatter,https://shop.lululemon.com/p/womens-t-shirts/Love-Crew-Splatter/_/prod10280035,54,54,"['7', '1', '0', '0', '0']","['92% Pima cotton', '8% Lycra® elastane']",womens-t-shirts,8,4.875,"['Lycra® elastane', 'Pima cotton']","Lycra® elastane,Pima cotton",7,1,0,0,0
20,Back in Action Long Sleeve *Rulu,https://shop.lululemon.com/p/tops-long-sleeve/Back-in-Action-LS-Rulu/_/prod9490366,88,88,"['39', '6', '2', '3', '5']","['87% Nylon', '13% Lycra® elastane']",tops-long-sleeve,55,4.290909090909091,"['Lycra® elastane', 'Nylon']","Lycra® elastane,Nylon",39,6,2,3,5
21,LA Split Shoulder Muscle Tank,https://shop.lululemon.com/p/women-tanks/LA-Split-Shoulder-Muscle-Tank/_/prod10410052,58,58,"['0', '0', '0', '0', '0']","['92% Pima cotton', '8% Lycra® elastane']",women-tanks,0,0.0,"['Lycra® elastane', 'Pima cotton']","Lycra® elastane,Pima cotton",0,0,0,0,0
22,LA Mock Neck Layered Crop Tank,https://shop.lululemon.com/p/women-tanks/LA-Mock-Neck-Layered-Crop-Tank/_/prod10410054,68,68,"['0', '0', '0', '0', '0']","['96% Modal', '4% Lycra® elastane']",women-tanks,0,0.0,"['Lycra® elastane', 'Modal']","Lycra® elastane,Modal",0,0,0,0,0
23,Swiftly Tech Short Sleeve 2.0,https://shop.lululemon.com/p/tops-short-sleeve/Swiftly-Tech-SS-2/_/prod9750519,68,68,"['311', '71', '37', '51', '47']","['54% Nylon', '40% Recycled polyester', '3% Elastane', '3% X-static® nylon']",tops-short-sleeve,517,4.059961315280464,"['Elastane', 'Nylon', 'Recycled polyester', 'X-static® nylon']","Elastane,Nylon,Recycled polyester,X-static® nylon",311,71,37,51,47
24,Love Tank *Pleated,https://shop.lululemon.com/p/women-tanks/Love-Tank-Pleated/_/prod8980076,38,38,"['595', '128', '89', '96', '86']","['92% Pima cotton', '8% Lycra® elastane']",women-tanks,994,4.056338028169014,"['Lycra® elastane', 'Pima cotton']","Lycra® elastane,Pima cotton",595,128,89,96,86
25,Ebb To Street Tank *Light Support For B/C Cup,https://shop.lululemon.com/p/women-tanks/Ebb-To-Street-Tank/_/prod2380186,58,58,"['446', '86', '65', '46', '33']","['85% Nylon', '15% Elastane', '95% Nylon', '5% Elastane', '100% Nylon']",women-tanks,676,4.281065088757397,"['Elastane', 'Nylon']","Elastane,Nylon",446,86,65,46,33
26,All Yours Tank,https://shop.lululemon.com/p/women-tanks/All-Yours-Tank/_/prod9600540,44,44,"['125', '29', '20', '16', '16']","['69% Pima cotton', '23% Lyocell', '8% Lycra® elastane']",women-tanks,206,4.121359223300971,"['Lycra® elastane', 'Lyocell', 'Pima cotton']","Lycra® elastane,Lyocell,Pima cotton",125,29,20,16,16
27,Cool Racerback II *Nulu,https://shop.lululemon.com/p/women-tanks/Cool-Racerback-II-Nulu/_/prod8780623,48,48,"['416', '83', '47', '52', '31']","['81% Nylon', '19% Lycra® elastane']",women-tanks,629,4.273449920508744,"['Lycra® elastane', 'Nylon']","Lycra® elastane,Nylon",416,83,47,52,31
28,Love Tee V,https://shop.lululemon.com/p/tops-short-sleeve/Love-Tee-V/_/prod8690610,48,48,"['205', '69', '51', '71', '76']","['92% Pima cotton', '8% Lycra® elastane']",tops-short-sleeve,472,3.542372881355932,"['Lycra® elastane', 'Pima cotton']","Lycra® elastane,Pima cotton",205,69,51,71,76
29,All Tied Up Tank,https://shop.lululemon.com/p/women-tanks/All-Tied-Up-Tank/_/prod6020285,44,44,"['461', '95', '34', '41', '25']","['92% Pima cotton', '8% Lycra® elastane']",women-tanks,656,4.411585365853658,"['Lycra® elastane', 'Pima cotton']","Lycra® elastane,Pima cotton",461,95,34,41,25
30,Run Briskly 1/2 Zip,https://shop.lululemon.com/p/tops-long-sleeve/Run-Briskly-12-Zip/_/prod9750534,98,98,"['52', '17', '13', '4', '3']","['56% Polyester', '33% Coolmax® polyester', '11% Lycra® elastane', '83% Nylon', '17% Lycra® elastane']",tops-long-sleeve,89,4.247191011235955,"['Coolmax® polyester', 'Lycra® elastane', 'Nylon', 'Polyester']","Coolmax® polyester,Lycra® elastane,Nylon,Polyester",52,17,13,4,3
31,Swiftly Breathe Long Sleeve,https://shop.lululemon.com/p/tops-long-sleeve/Swiftly-Breathe-LS/_/prod10210121,78,78,"['41', '9', '2', '2', '1']","['54% Nylon', '40% Recycled polyester', '3% Elastane', '3% X-static® nylon']",tops-long-sleeve,55,4.581818181818182,"['Elastane', 'Nylon', 'Recycled polyester', 'X-static® nylon']","Elastane,Nylon,Recycled polyester,X-static® nylon",41,9,2,2,1
32,Sculpt Tank,https://shop.lululemon.com/p/women-tanks/Sculpt-Tank/_/prod5020018,58,58,"['479', '114', '61', '48', '55']","['73% Nylon', '27% Xtra life lycra® elastane', '89% Nylon', '11% Elastane']",women-tanks,757,4.207397622192866,"['Elastane', 'Nylon', 'Xtra life lycra® elastane']","Elastane,Nylon,Xtra life lycra® elastane",479,114,61,48,55
33,Swiftly Breathe Long Sleeve Squad,https://shop.lululemon.com/p/tops-long-sleeve/Swiftly-Breathe-LS-Squad/_/prod10210120,78,78,"['10', '2', '0', '0', '0']","['66% Nylon', '31% Polyester', '3% X-static® nylon']",tops-long-sleeve,12,4.833333333333333,"['Nylon', 'Polyester', 'X-static® nylon']","Nylon,Polyester,X-static® nylon",10,2,0,0,0
34,Cool Racerback II,https://shop.lululemon.com/p/women-tanks/Cool-Racerback-II/_/prod8260230,48,48,"['367', '113', '81', '76', '84']",['None listed'],women-tanks,721,3.836338418862691,['None listed'],None listed,367,113,81,76,84
35,Swiftly Relaxed Short Sleeve 2.0,https://shop.lululemon.com/p/womens-t-shirts/Swiftly-Tech-SS-Breeze/_/prod9030598,68,68,"['181', '32', '32', '27', '15']","['51% Nylon', '44% Polyester', '3% Elastane', '2% X-static® nylon']",womens-t-shirts,287,4.174216027874564,"['Elastane', 'Nylon', 'Polyester', 'X-static® nylon']","Elastane,Nylon,Polyester,X-static® nylon",181,32,32,27,15
36,Cates Tee,https://shop.lululemon.com/p/womens-t-shirts/Cates-Tee/_/prod9271065,48,48,"['227', '35', '17', '17', '7']","['92% Pima cotton', '8% Lycra® elastane']",womens-t-shirts,303,4.511551155115511,"['Lycra® elastane', 'Pima cotton']","Lycra® elastane,Pima cotton",227,35,17,17,7
37,Swiftly Breathe Short Sleeve,https://shop.lululemon.com/p/tops-short-sleeve/Swiftly-Breathe-SS/_/prod10120025,68,68,"['21', '1', '1', '0', '0']","['54% Nylon', '40% Recycled polyester', '3% Elastane', '3% X-static® nylon']",tops-short-sleeve,23,4.869565217391305,"['Elastane', 'Nylon', 'Recycled polyester', 'X-static® nylon']","Elastane,Nylon,Recycled polyester,X-static® nylon",21,1,1,0,0
38,Love Crew III *Waffle,https://shop.lululemon.com/p/tops-short-sleeve/Love-Crew-III-Waffle/_/prod10400457,58,58,"['3', '3', '3', '1', '1']",['100% Cotton'],tops-short-sleeve,11,3.5454545454545454,['Cotton'],Cotton,3,3,3,1,1
39,All Yours Tank *Tie Dye,https://shop.lululemon.com/p/women-tanks/All-Yours-Tank-Tie-Dye/_/prod10390093,52,52,"['0', '1', '1', '0', '0']","['100% Pima cotton', '98% Pima cotton', '2% Lycra® elastane']",women-tanks,2,3.5,"['Lycra® elastane', 'Pima cotton']","Lycra® elastane,Pima cotton",0,1,1,0,0
40,All Yours Tee *Graphic,https://shop.lululemon.com/p/tops-short-sleeve/All-Yours-Tee-Graphic/_/prod9960626,68,68,"['8', '1', '0', '0', '0']","['69% Pima cotton', '23% Lyocell', '8% Lycra® elastane']",tops-short-sleeve,9,4.888888888888889,"['Lycra® elastane', 'Lyocell', 'Pima cotton']","Lycra® elastane,Lyocell,Pima cotton",8,1,0,0,0
41,Swiftly Tech Short Sleeve 2.0 *Race Length,https://shop.lululemon.com/p/tops-short-sleeve/Swiftly-Tech-Short-Sleeve-2-Race/_/prod9820343,68,68,"['75', '18', '16', '4', '14']","['54% Nylon', '40% Recycled polyester', '3% Elastane', '3% X-static® nylon']",tops-short-sleeve,127,4.070866141732283,"['Elastane', 'Nylon', 'Recycled polyester', 'X-static® nylon']","Elastane,Nylon,Recycled polyester,X-static® nylon",75,18,16,4,14
42,All Yours Crop Tee,https://shop.lululemon.com/p/tops-short-sleeve/All-Yours-Crop-Tee/_/prod9960620,48,48,"['4', '2', '2', '0', '0']","['69% Pima cotton', '23% Lyocell', '8% Lycra® elastane']",tops-short-sleeve,8,4.25,"['Lycra® elastane', 'Lyocell', 'Pima cotton']","Lycra® elastane,Lyocell,Pima cotton",4,2,2,0,0
43,Swiftly Tech Racerback 2.0 *Race Length,https://shop.lululemon.com/p/women-tanks/Swiftly-Tech-RB-2-Race/_/prod9750460,58,58,"['240', '33', '7', '8', '6']","['52% Nylon', '41% Polyester', '4% Elastane', '3% X-static® nylon']",women-tanks,294,4.6768707482993195,"['Elastane', 'Nylon', 'Polyester', 'X-static® nylon']","Elastane,Nylon,Polyester,X-static® nylon",240,33,7,8,6
44,Muscle Love Crop Tank *Tough,https://shop.lululemon.com/p/women-tanks/Muscle-Love-Crop-Tank-Tough/_/prod9820380,58,58,"['23', '3', '1', '4', '2']","['88% Nylon', '12% Elastane']",women-tanks,33,4.242424242424242,"['Elastane', 'Nylon']","Elastane,Nylon",23,3,1,4,2
45,Rest Less Pullover *Bubble Dot,https://shop.lululemon.com/p/tops-long-sleeve/Rest-Less-Pullover-BD/_/prod10280037,88,88,"['21', '8', '5', '5', '6']","['65% Nylon', '30% Polyester', '5% Elastane']",tops-long-sleeve,45,3.7333333333333334,"['Elastane', 'Nylon', 'Polyester']","Elastane,Nylon,Polyester",21,8,5,5,6
46,Swiftly Relaxed Tank,https://shop.lululemon.com/p/women-tanks/Swiftly-Relaxed-Tank/_/prod9820391,58,58,"['39', '10', '7', '10', '18']","['51% Nylon', '44% Polyester', '3% Elastane', '2% X-static® nylon']",women-tanks,84,3.5,"['Elastane', 'Nylon', 'Polyester', 'X-static® nylon']","Elastane,Nylon,Polyester,X-static® nylon",39,10,7,10,18
47,Rise and Run Long Sleeve,https://shop.lululemon.com/p/tops-long-sleeve/Rise-and-Run-Long-Sleeve/_/prod9960797,78,78,"['26', '6', '8', '3', '2']","['73% Nylon', '27% Xtra life lycra® elastane']",tops-long-sleeve,45,4.133333333333334,"['Nylon', 'Xtra life lycra® elastane']","Nylon,Xtra life lycra® elastane",26,6,8,3,2
48,All Yours Crop Tank,https://shop.lululemon.com/p/women-tanks/All-Yours-Crop-Tank/_/prod9960619,44,44,"['3', '1', '0', '0', '1']","['69% Pima cotton', '23% Lyocell', '8% Lycra® elastane']",women-tanks,5,4.0,"['Lycra® elastane', 'Lyocell', 'Pima cotton']","Lycra® elastane,Lyocell,Pima cotton",3,1,0,0,1
49,Power Y Tank *Everlux,https://shop.lululemon.com/p/women-tanks/Power-Y-Tank-Everlux/_/prod9750456,52,52,"['23', '13', '2', '10', '8']","['89% Nylon', '11% Elastane', '56% Polyester', '33% Coolmax® polyester', '11% Lycra® elastane', '77% Nylon', '23% Lycra® elastane']",women-tanks,56,3.5892857142857144,"['Coolmax® polyester', 'Elastane', 'Lycra® elastane', 'Nylon', 'Polyester']","Coolmax® polyester,Elastane,Lycra® elastane,Nylon,Polyester",23,13,2,10,8
50,Swiftly Tech Short Sleeve 2.0 *City,https://shop.lululemon.com/p/tops-short-sleeve/Swiftly-Tech-Short-Sleeve-2-City/_/prod10080064,78,78,"['7', '0', '0', '0', '1']","['50% Nylon', '44% Recycled polyester', '3% Elastane', '3% X-static® nylon']",tops-short-sleeve,8,4.5,"['Elastane', 'Nylon', 'Recycled polyester', 'X-static® nylon']","Elastane,Nylon,Recycled polyester,X-static® nylon",7,0,0,0,1
51,Swiftly Breeze Tank *Relaxed Fit,https://shop.lululemon.com/p/women-tanks/Swiftly-Breeze-Tank/_/prod9270989,58,58,"['70', '21', '13', '18', '11']","['51% Nylon', '43% Polyester', '3% Elastane', '3% X-static® nylon']",women-tanks,133,3.9097744360902253,"['Elastane', 'Nylon', 'Polyester', 'X-static® nylon']","Elastane,Nylon,Polyester,X-static® nylon",70,21,13,18,11
52,Airy Breakaway Tank,https://shop.lululemon.com/p/women-tanks/Airy-Breakaway-Tank/_/prod9960609,68,68,"['1', '0', '0', '0', '0']","['73% Nylon', '27% Xtra life lycra® elastane', '80% Nylon', '20% Elastane']",women-tanks,1,5.0,"['Elastane', 'Nylon', 'Xtra life lycra® elastane']","Elastane,Nylon,Xtra life lycra® elastane",1,0,0,0,0
53,Power Pivot Tank,https://shop.lululemon.com/p/women-tanks/Power-Pivot-Tank/_/prod9750454,58,58,"['30', '15', '4', '6', '14']","['72% Nylon', '28% Xtra life lycra® elastane']",women-tanks,69,3.5942028985507246,"['Nylon', 'Xtra life lycra® elastane']","Nylon,Xtra life lycra® elastane",30,15,4,6,14
54,Swiftly Relaxed Long Sleeve 2.0,https://shop.lululemon.com/p/tops-long-sleeve/Swiftly-Tech-LS-Breeze/_/prod8510157,78,78,"['310', '53', '30', '38', '25']","['53% Nylon', '41% Polyester', '3% Elastane', '3% X-static® nylon']",tops-long-sleeve,456,4.282894736842105,"['Elastane', 'Nylon', 'Polyester', 'X-static® nylon']","Elastane,Nylon,Polyester,X-static® nylon",310,53,30,38,25
55,Cool Racerback II Nulu Shorter Length *Diamond Dye,https://shop.lululemon.com/p/women-tanks/Cool-RB-II-Nulu-Diamond-Dye-Race/_/prod10390025,48,48,"['416', '83', '47', '52', '31']","['81% Nylon', '19% Lycra® elastane']",women-tanks,629,4.273449920508744,"['Lycra® elastane', 'Nylon']","Lycra® elastane,Nylon",416,83,47,52,31
56,Swiftly Breathe Short Sleeve *Squad,https://shop.lululemon.com/p/tops-short-sleeve/Swiftly-Breathe-SS-Squad/_/prod10270106,68,68,"['0', '0', '0', '0', '0']","['66% Nylon', '31% Polyester', '3% X-static® nylon']",tops-short-sleeve,0,0.0,"['Nylon', 'Polyester', 'X-static® nylon']","Nylon,Polyester,X-static® nylon",0,0,0,0,0
57,Train to Be Short Sleeve,https://shop.lululemon.com/p/womens-t-shirts/Train-to-Be-SS/_/prod9600524,68,68,"['58', '11', '6', '5', '11']","['70% Nylon', '30% Polyester']",womens-t-shirts,91,4.0989010989010985,"['Nylon', 'Polyester']","Nylon,Polyester",58,11,6,5,11
